,image_path,combined_text,avg_conf
0,5077536349.jpeg,"NU EX-HERB. J. W. CONGDON, 2wich, R.I. Ka ‘slawcen. Caleb a fe Jue Collected by",43.281240000000004
1,1503302652.jpeg,"University of South Florida Herbarium (9) m 4 =| = m 4 m Ps 7) WwWEST RIVER VALLEY Y AND TRIBUTARIES Corxecrion or Lesrox A. Wurerer V7, COL j 910;60 ‘ON 189:",70.95460244126984
2,1038983765.jpeg,"copyright reserved sii YU.008327 FLORA OF MONHEGAN ISLAND, LINCOLN COUNTY, MAINE,                            Oswwmcdla enmeanmewna L WE meas rar Ruwit Meat Gut 1, 1919 oll. C. F, JENNEY JR. CHURCHILL, A.F. HILL 82 68",66.11664581870748
3,1038919101.jpeg,"JET, 7 ees } % a S < o a ut Botanical So itil Tu itt H. Praline ta Tapeh ESTAS 70060 CONNECTICUT FLORA. et reer fortran bl r Aral, JILEG, ee fo Leas bothecge Ub Iam 6 E964 COLLECTOR 0. H, BISSEL! HERBARIUM OF ©. H. BISSELL.",41.74325854868126
4,1038940640.jpeg,"AonviM OF > (SN EN ( CONNECTICUT ..) 8 RG SAWICAL SOE Y, iii. 1 CBS.1853 HERBARIUM OF H. S. CLARK, HARTFORD, CONN. Wicla gotuncdipeli a, Miskx Chew degedte $e Lor! NeCnaeang flee Abt. Mocdbury Conn Bip 83 T70F RBARIUM OF C,H, BISSELL : TOWN. BEey SUNOS Hebe CoLLecTeD By H. S. CLARK. sPectes_// 2",53.13258697556777
5,1995316443.jpeg,": /-61G Universit: - of Sc ith Florida terbariur2     | 4 10 = BS — £ = =- 22, Ss a o = i ws a = | U ll lalate lalla * Peterboro, New Hampshire rey 29 1907 | | ety, of eee tan tacdloi | Coll. C. F°. Batchelder Z is",61.98784714770045
6,5067935458.jpeg,"Le HODG GDON . qo4ss UNIVERSITY OF NEW HAMPSHIRE SR rman ere TRE REY Wii        i] hire ——— Sok, Cowithy MIF. M oe , 140 ag! aVatalstglgealpeaugegegegegeues: 2. LE",41.88059723958334
7,1038998888.jpeg,wii HL CBS.07625,31.583320666666665
8,5077552655.jpeg,"Wii ii ‘rr BX G. H. CORNWELL HERB. WAUKESHA, WIS, & MIDDLETOWN, CONN, a ee",40.030324443181826
9,1978899343.jpeg,"AA a ih | 2 5 ry ryt | jailed | 4 4 USF Herbarium 3 10 9 8 7 6 3 ] Dll lla llc lailcliailicaliatlhet tial uiliauili Oin l 2 Ocm Lud iA = A Lf i — y Y Corey Vr ele. Aen yorAs CUr COV. lol Fide M.L. Fernald, Nov.29,1908. Gr ay’s Manual, 7th ed. ,1908 7) Pte. an Se Pa, tert Botte, . yaw 16 (SF ey HERBARIUM OF WALTER DEANE. Flora of Hom of ee ce e Sticela Kate. ess oY We Legit HLS tf ae 1.) aad EX HERB. M.L. FER a",68.64364991949424
10,1978899246.jpeg,"Herbarium 10 ANNOTATION By New Hampshire, Hillsboro County, New Boston. Collector: A. W. Cheever 15 June 1903,",94.82766073809525
11,1228621608.jpeg,"         jo 2 ova oo 7s 0 10 St MheNel e, copyright reserved useum     Gnasses AND GRass-Like PLANTS OF NoRTH AMERICA. Distributed by A. B. Szywoun, 1892. 2, Juncus bufonius, Z. Nantasket, Mass., June 23, 1889. = Herb. Gray Coll. A. B. Seymour,",76.16499652242825
12,3066874302.jpeg,"a: UNIVERSITY OF SOUTH FLORIDA HERBARIUM               FLORA OF WEST RIVER VALLEY “7c AND TRIBUTARIES. Cou... or Leston A. WHEELER DL *- | V7 hnracanage, FCs ge ae ta, 20/1 &",64.45902097159092
13,1228599514.jpeg,"      -Field useum ield Museum (F) ‘tii                KG: 9) = | A4,! Cordele, Lhihl — | Pics va.",68.82833814814815
14,1947780920.jpeg,"<a = § _ ene —_ og _— 52 — o - sc Set) ——  \ £ t—_- 4 3        = ; = HERBARIUM OF GEORGE GOLDING KENNEDY, M.D. = Na. \24\0 Given To THe GRAY Hersam, November, 1917 fh [ UNIivepanaa a | S01 17 ERSITY OF 4 FLORIDA 3YUS HM | = HERBARIUM | | Arp Agry “7 Ugg SUT WiIy ral (o—-A) Psgiith: siete Coll. G. G. K. / yy) ee VOL 10985 / A Rta",62.645746651504645
15,1038982319.jpeg,"ey 8 8 3 g e 3 g g 2 Fy Es Yate Uersy eam MIA YU.062516 HERBARIUM OF YALE UNIVERSITY FLORA OF CONNECTICUT, NEW HAVEN COUNTY Licla L Votte Hover Gen. €.uichobs Sefb. 22.1919",46.40745424848484
16,5067928796.jpeg,"   wn NHA-54619 oe oe _ HERBARIUM OF WALTER DEANE BeQueaTueED TO THE GRAY HerBartum. Recervep Avause, 1930",62.390572482142865
17,1038977542.jpeg,"Q S S 2 = o & 2 4 o 2 Const aaa Soi wii AT CBS.37979 #30 % — .p.Hancsr, Couector A iidacg rm pacheuta Nicht Ruehag cit tu Ure « Aft: 15/90 |",32.70066110416667
18,1038958083.jpeg,"9 10 pyright reserved 8 7 necticut Botanical iii wiv CBS.07899 CONNECTICUT FLORA, LITCHFIELD COUNTY. LP. thy fp Ldn ele Zo47 7 HERBARIUM OF C. HL. BISSEL",70.91562565
19,1038969525.jpeg,"HERBARIUM YALE UNIVERSITY Yale University Herbarium OLE YU.058961 >RESENTED Herbarium of Yale University SPECIMEN IN FRUIT & SEED COL ANNOTATED By: caw WEA 2 Z ; 2 OLE HN Exewte, [Cotr of ecs Bat ie,",54.18527299333333
20,1039015537.jpeg,Lasiie J. Mehrhott RARE PLANT PROGRAM CONNECTICUT GEOLOGICAL @ NATURAL HISTORY SURVEY 8 9 10 Fi copyright reserved eu ean AML YU.037642 HERBARIUM OF YALE UNIVERSITY,66.99367886666667
21,1038980442.jpeg,"HERBAR iy YALE UN ae erty ean OLIN YU.058217 HERBARIUM OF YALE UNIVERSITY Chimaphila umbellate L (Nut! ‘Tract south of Maltby Lables Orange,Conn, APR 25 1912",68.20180914285716
22,1228180607.jpeg,"               8 9 10 copyright reserved Field |    wii I 90846 | | | i Le OF WALTER DEANE, hae OS efleg AB : COE | Coll. Watrer Deane, |",73.61224317853535
23,1039025334.jpeg,PLANTS FROM THE HERBARIUM OF RICHAKL WILT TAM WCODWARD PRESEN. ED 70 The CONNECTICUT BOTANICAL SOCIETY BY MRS. R. W. WOODWARD IN 1933 Connecti tia soi WMC CBS.33330 FLORA,78.90871401754386
24,1135453008.jpeg,"Botanisches Institut der k. k. Universitat Wien | HERBARIUM OF EDWIN HUMPHREY HAZEN | | Prareibea eee 10 erntll Cnn, Acq. Journ, to, 2469",61.20434418988095
25,1424769030.jpeg,"   janes 4°55 6 7 6:9 “10cm iel ’ c, useuml ht reserved | Fa i im | om",58.427881761904764
26,1038991418.jpeg,"a EE o ® 2 < o a NCL BS.3511 I Cl if SPECIES Z HERBARIUM OF ©. H, BISSELL.",47.83719029464285
